author,text,publishedAt
@iamelogs,Xiaomi 15 Ultra 🏃🏃,2025-09-10T04:48:59Z
@wis_dwrzd,Pro max👌,2025-09-10T04:49:27Z
@Rubikscube_guy,W😢,2025-09-10T04:49:51Z
@saturnblue,Apple just ripped off the camera layout from the xiaomi Mi 11 ultra and Nubia z60 ultra! 😂,2025-09-10T04:50:50Z
@kevinkv16,pro max,2025-09-10T04:50:57Z
@rahulrajrai1996,"I actually ordered both, will keep one and give the other to my GF",2025-09-10T04:51:38Z
@fumeegbewo2190,iPhone 17 Pro Max 😊,2025-09-10T04:52:28Z
@TheEndermanTM,"17PM, I value my screen size and battery.",2025-09-10T04:54:08Z
@abhijithudayakumar646,Definitely 17 pro max,2025-09-10T04:54:21Z
@throws_a_brick_at_you,A Nothing Phone 3,2025-09-10T04:55:03Z
@kaiperdaens7670,"Google pixel 10 pro XL, Samsung galaxy S25 Ultra, OnePlus 13, Vivo X200 ultra, OPPO find x8 ultra, Xiaomi 15 ultra, red magic 10 pro",2025-09-10T04:55:20Z
@taeloselwane4649,"Considering the iPhone Air but I Will decide based on the price difference between the Air and pro, because in South Africa we always pay a premium irrespective of the prices Apple announced",2025-09-10T04:55:45Z
@ZillasWay,@supercalifragguyI still use 11 too 😂,2025-09-10T04:56:16Z
@abhishekachary2935,Iphone 17 pro max was thinking of changing my phone for a long time i am currently using iphone 13 pro,2025-09-10T04:56:26Z
@HellbatShresth,Iphone 17 pro,2025-09-10T04:57:40Z
@bexp_2,iPhone Water,2025-09-10T04:58:19Z
@caprioguy,Air and keep my 16pro max as backup,2025-09-10T05:00:12Z
@Olaf-t3f,PalmOne Treo 650,2025-09-10T05:01:06Z
@YuanVergara-d3n,Iphone 16 and 15 pro max,2025-09-10T05:01:25Z
@Sam_7619,Pro phone price - vacuum cooling - 2 cameras - stereo speakers = $100 😂😂 Apple 🍎 are you serious ????,2025-09-10T05:02:31Z
@DarthHairy,Nothing.... Air,2025-09-10T05:02:54Z
@aamirismail1800,max seems like overkill,2025-09-10T05:02:59Z
@leonjohansson7538,I am good with my 2020 iphone se....,2025-09-10T05:03:11Z
@AbdulBex,Base 17 is the best as it got all the features of the pro 15 and pro 16 so if you were gonna go with a 16/15 pro last year it’s even better,2025-09-10T05:03:53Z
@KeemLewis-b5c9y,Promax all the way bro💯🙏👏,2025-09-10T05:04:17Z
@crazeonroad4305,​@abhishekdinesh9517means you love bad performance and less premium-ness,2025-09-10T05:04:41Z
@crazeonroad4305,Pro max,2025-09-10T05:04:53Z
@gerardalburyjr2534,17 pro max silver,2025-09-10T05:05:56Z
@skul85,17 pro max,2025-09-10T05:06:14Z
@areadyplayer3806,I want to know one thing is it came with ios 26 update,2025-09-10T05:06:42Z
@KelandCossia,pro max,2025-09-10T05:07:18Z
@ui.ux_a,Hello bhaiya I am single girl child of my parents mujhe tablet chahiye classes ke liye mujhe apke dreams poore krne hain or apne parents ko proud feel krana hai or sbko yeh message dena hai ki single Girl Child hoke bhi mein bahut kuch kr skti apne dreams poore or mummy papa ki needs bhi bhaiya mujhe gadget chahiye jese tablet for classes mein preparation kr rhi hoon entrance exam ki mca ke please bhaiya giveaway krdo I am forever Thankful to you bhaiya 🙌🏻,2025-09-10T05:07:52Z
@drdoublepepper,Air,2025-09-10T05:08:03Z
@gamesensee,base 17 is the best this year,2025-09-10T05:09:36Z
@MalawianVibes,Would love the pro max your fan from Malawi,2025-09-10T05:10:14Z
@seniorgamingyt6146,17 pro,2025-09-10T05:10:20Z
@CJesss,People always talk about the Air and Pro but the base one is the one I’m getting my hands on it’s the star this year to me,2025-09-10T05:11:00Z
@DarthAwar,You forgot most of the New IPhone look like Pixel 10,2025-09-10T05:11:16Z
@Aryan_Kumawat_,Galaxy S26 Ultra,2025-09-10T05:11:17Z
@Larry-e5q,iPhone 17 pro max,2025-09-10T05:11:25Z
@UltraMutant,Just Pro (Not Max),2025-09-10T05:11:28Z
@Snoopy2050,17 pro max cause my hands are big and I don’t want a terrible camera for a showpiece,2025-09-10T05:13:00Z
@aleguitarist,17 pro max,2025-09-10T05:14:38Z
@arvindynr,none. 17 is better buy.,2025-09-10T05:14:52Z
@slocomike,Pro Max,2025-09-10T05:15:36Z
@itsAbys,Base,2025-09-10T05:17:02Z
@AkshatOhri,iphone 14 pro max xD,2025-09-10T05:17:13Z
@chadfli,Pro max. Did u edit this vid on the iPad?,2025-09-10T05:17:59Z
@NeilWatkinsfromaccounting,Air,2025-09-10T05:19:48Z
@tmoo8779,13 pro max,2025-09-10T05:20:22Z
@AnwarF_,Base 17,2025-09-10T05:20:41Z
@changchen09,None 😅,2025-09-10T05:20:44Z
@emmanuelalabi1560,None,2025-09-10T05:21:11Z
@NefexOW,Pixel 10,2025-09-10T05:21:18Z
@The_Broman,​@Ro-Bitsbut does it bend ^_^,2025-09-10T05:21:34Z
@HlumeloLukhanyoApril,"I'd appreciate any phone atp, base 17 would be nice",2025-09-10T05:22:44Z
@hymsj2158,Air hands down…coz no major changes as compared to 16…,2025-09-10T05:23:54Z
@MegaLeonilde,"Change the title mate to: ""WHO ASKED""!",2025-09-10T05:24:39Z
@lindanichols3583,Air,2025-09-10T05:28:04Z
@CarsandTechInfo,17 Pro Max in Deep Blue,2025-09-10T05:28:34Z
@jaywhite1141,I’m getting the iPhone 17 pro max 🍊,2025-09-10T05:31:39Z
@michaelmancusosthoughts,"Honestly, it’s all a yawn. I can’t find a compelling reason to upgrade. 

I’m still salty about getting duped into upgrading last cycle for “Apple Intelligence.”

AI plays such a large role in my daily life that I’m considering prying myself out of the Apple ecosystem. (After 20+ years)",2025-09-10T05:32:38Z
@kedprobably,"pro max, obviously",2025-09-10T05:34:14Z
@Credora_hub,Can i please have the 17 when you are done with the tests please,2025-09-10T05:35:30Z
@tusharchavda4564,Samsung,2025-09-10T05:36:05Z
@ufuahfrancis1362,Air,2025-09-10T05:37:00Z
@AgusMulyandi,I would choose pro max version all day everyday,2025-09-10T05:37:35Z
@braaji,Iphone 4,2025-09-10T05:37:44Z
@revampedglobe,I'd take the Samsung Galaxy W25 Flip,2025-09-10T05:38:16Z
@Max-oc2tf,Google pixel 10 pro fold,2025-09-10T05:38:28Z
@Hawster,Samsung...,2025-09-10T05:38:47Z
@xpertpratik1997,Pro max,2025-09-10T05:38:51Z
@adilsonaly5633,You are wrong. He posted already a short roasting the iphone air.,2025-09-10T05:39:59Z
@parthabarua4942,Base 17 😂 sure,2025-09-10T05:40:57Z
@EmmanuelVictorosagie,Please I will love ❤️ the 17 pro,2025-09-10T05:42:27Z
@jcw231,I phone 13 mini,2025-09-10T05:42:36Z
@MaximilianZ96,Normal iPhone 17. I am normally a pro buyer but this year I don’t see a single reason to go for the pro.,2025-09-10T05:42:43Z
@engrihsankhan2595,17 air,2025-09-10T05:43:42Z
@oscarcarreon3221,Air 100%,2025-09-10T05:47:49Z
@jinx3709,Base 17,2025-09-10T05:47:59Z
@christianpeters7003,​@GHOSTYYT-y8use malo uce 😂,2025-09-10T05:49:16Z
@asi-oquabassey1999,"17 Pro Max all day, any day Arun.",2025-09-10T05:49:43Z
@DragoonMS,"Neither; the Air sucks (folks need to *STOP* begging for these thinner, wimpy phones that compromise so hard to get that thin), and they've eliminated black from the Pro & Pro Max, making that completely not worth bothering with. (Bad enough they previously got rid of that gorgeous red a couple years ago from the lower end iPhone 15 variants without *EVER* bringing that color to the Pro variants)...",2025-09-10T05:49:44Z
@dineshshetty5492,If you had to introduce the battery when you introduced the phone then you know it's a rip off. I know this iPhone air is going to fail. I hope it does. Apple is misleading customers,2025-09-10T05:50:04Z
@Jaey-m.v,The pro...but I wish theyll just add a fingerprint sensor to the capture button at least. Wont it work or make it more useful? Thats if they cant just make a side button like android,2025-09-10T05:51:12Z
@wandaswartz6692,"Air 1,000%",2025-09-10T05:51:13Z
@MajidKhan-rs5dq,17 pro max❤,2025-09-10T05:52:41Z
@archer_vice,"Well definitely not the liquid ""ass"" , a Samsung",2025-09-10T05:53:29Z
@TheyCallMeWilly,17 is fine.,2025-09-10T05:53:49Z
@Mike-sx4sk,I would choose Air but I'm good with 15 plus for now,2025-09-10T05:54:12Z
@NewD17,Air,2025-09-10T05:54:55Z
@thejanke,"I like a big battery - 17 Pro Max 512GB all the way. It is time to say goodbye to my old 12 Pro Max 256GB

Would never consider the Air version.",2025-09-10T05:55:02Z
@Thedetails-uk,17 Air ! Different and sleek,2025-09-10T05:55:26Z
@derrickomuga536,Air,2025-09-10T05:56:10Z
@user-hl4rv7tb8d,"My old iPhone 15, no need to upgrade this phone has nothing new that is interesting",2025-09-10T05:56:20Z
@anandsreekar7611,"Seriously dude, your double standards are baffling me. Unsubscribed. Atleast put paid promotion tag in the video",2025-09-10T05:58:44Z
@k.vn.k,Air.,2025-09-10T05:59:51Z
@John-rt7zg,Pro,2025-09-10T06:00:22Z
@kevm.382,"17 Pro Max, once you buy the battery pack and AirPods that’s required, it’s already the price of the PM 😅",2025-09-10T06:00:30Z
@Samsam42-22,Nothing..I would keep my Samsung,2025-09-10T06:00:45Z
@k.vn.k,I have Samsung s25 ultra and will get iPhone Air.,2025-09-10T06:01:36Z
@dabber_47,hmm u never mentioned the sponsored message at the end (like didn’t say it which is wrong),2025-09-10T06:01:39Z
@RuhaanGawde,@phamnhan1690Same,2025-09-10T06:02:36Z
@SamuelEgede-db5jl,iPhone Air,2025-09-10T06:03:17Z
@SiliO_,who asked for 17 air?,2025-09-10T06:03:33Z
@laughterawaits4317,Apple stock ✅,2025-09-10T06:04:12Z
@k.vn.k,@kevm.382no need for them. 27 hours video playback means i can have it for 2 days before charge as i don’t watch video 27 hrs and 30 mins charge to 50% batt is enough for normal people.,2025-09-10T06:04:36Z
@saf6qet7,17 pro max,2025-09-10T06:07:22Z
@mokaLARE,"iPhone 17 Pro Max all day, everyday! For the battery and the pro work.",2025-09-10T06:07:50Z
@ashmanabubakar1813,Pls 17 pro max tye first and last iPhone I had was 7 plus am a huge fan pls 🙇‍♂️,2025-09-10T06:11:12Z
@naterod,S26 ultra when it comes out,2025-09-10T06:13:10Z
@mokaLARE,@ashmanabubakar1813 he is not giving phones away. Lol,2025-09-10T06:13:50Z
@summary-guy,Definately none of them.,2025-09-10T06:18:01Z
@moristone,17  i need to change phones but cant afford it so that’s a dream I guess,2025-09-10T06:19:46Z
@ashmanabubakar1813,​@naterod you promise me bro,2025-09-10T06:19:49Z
@unathiandile4144,Pro max,2025-09-10T06:19:54Z
@ashmanabubakar1813,Thank you mister am most grateful,2025-09-10T06:20:17Z
@imreallyasnail,pro max mane,2025-09-10T06:21:25Z
@sookiem.897,So where’s the link for the torras magnetic case?,2025-09-10T06:21:34Z
@toliq90,Iphone 17 pro max because it is more powerfull,2025-09-10T06:22:27Z
@pranavkumarreddykasa,17 pro max definitely,2025-09-10T06:23:54Z
@faseerk2426,17 Air to experiment the new🙂,2025-09-10T06:24:08Z
@AlanTalyor,Air,2025-09-10T06:25:03Z
@NasirAli-fv1nq,Pro max,2025-09-10T06:25:43Z
@nathanlambert1502,"I want them to bump the memory/ Ram up, like why not just make it 16 gb ram instead of 12.",2025-09-10T06:26:10Z
@totomiranda1193,17 pro max sir ty po,2025-09-10T06:27:45Z
@G2thaV,I always get the Pro Max when I upgrade,2025-09-10T06:27:58Z
@ProGamerYT1902AJDogsRecruiter,17 pro max obviously.,2025-09-10T06:37:59Z
@bcookmusic,Send me the Pro w that sweet case my guy!,2025-09-10T06:38:22Z
@wadepav3235,"The pro with the orange option just won! the air, elegant but a disaster!! Wait for the summer charging ;)",2025-09-10T06:40:18Z
@BillWorf,Iphone ? never ever !!!,2025-09-10T06:44:01Z
@loveistheanswer5924,"Its RIDICULOUSLY how SMALL the improvements each year are! 😴


The smartphone market is so BORING  and unspectacular! 🥱😴",2025-09-10T06:45:43Z
@theXpdawg,Damn the pro max is too big for my liking and the battery on thr Air is not make sure and they both cost a 1000 plus dollars. I'd go Air though. It wouldn't be that bad to say my first iPhone was an 17 Air,2025-09-10T06:47:33Z
@sewerfr0g,I'll stick with my Pixel,2025-09-10T06:47:52Z
@CartersFX,17 pro max,2025-09-10T06:48:05Z
@tanbinhassanalif,iPhone Air,2025-09-10T06:50:55Z
@showytofficial4916,None of them,2025-09-10T06:51:38Z
@SuhailmaXbimmer,"none for sure, who designs this? really !",2025-09-10T06:51:43Z
@harrisonmick-1,me using my techno camon 19 to reply i need iphone 15 🙂🙂but no money...anyway geat video,2025-09-10T06:53:32Z
@erayyyilmaz,Fold 7,2025-09-10T06:59:34Z
@HDigitality,None,2025-09-10T07:00:17Z
@Chillguywhodontcause,Bruh why yall so picky the iPhone 17 is on a better budget and it’s more thin brochacos,2025-09-10T07:01:04Z
@Iwazen-vsg,@JuniorsChannel11the Apple Event was yesterday 🎉🎉,2025-09-10T07:01:24Z
@faye_gwenn,iPhone 11 gang still going strong wya,2025-09-10T07:02:16Z
@Islam_video_channel,"Neither because Apple are being right down stubborn and greedy to be charging £999 minimum for non base iPhones by just changing a few things, air should be cheaper if material usage, cameras etc are reduced, this os not innovation",2025-09-10T07:05:57Z
@thatsitthatsall70,I still want a iPhone mini,2025-09-10T07:06:29Z
@tarlanatarunkumar5531,Pro,2025-09-10T07:06:34Z
@Saheel-y9y,No-thing crap 😅❤,2025-09-10T07:07:07Z
@burpermuncher6673,Iphone 17 pro sana bro,2025-09-10T07:10:36Z
@mayankpatel1203,17 pro max 😭,2025-09-10T07:11:15Z
@emilm3264,None.,2025-09-10T07:11:48Z
@divyajeevan69,Gonna upgrade from iphone 11 to base iphone 17.,2025-09-10T07:12:00Z
@macfanguy,Air… for exactly the reasons mentioned.,2025-09-10T07:12:15Z
@weternek,"A Huawei 80 Pura Ultra,or a Honor Magic 7 RSR.
By the way the iPhone 17 Pro and 17 Pro Max looks the same like Google Pixel 10 Pro and 10 Pro XL, and the specs are similar.
Not to mention that iPhone 17 Air it looks like a combination between IPhone 8 Plus and Google Pixel 10 Pro.",2025-09-10T07:12:24Z
@VortexGaming-q6o,"17 Pro Max because the air looks too odd for an Apple Phone.

PS. I Love Your Videos!!! Keep Going",2025-09-10T07:12:37Z
@s.m.tameerhossain9511,People would love pro max as usual,2025-09-10T07:13:29Z
@mixalis6168,"Neither !! Samsung is looking real good now, S26 Ultra !! And i am a long time user of apple, but the pro is awful !",2025-09-10T07:14:08Z
@kitdorsungoh9895,iPhone 17pro max,2025-09-10T07:17:32Z
@Dharkestmind1.,iPhone 17 pro max pls,2025-09-10T07:18:39Z
@huntsvillecoin,If I get one it’ll be 17 pro max…,2025-09-10T07:19:37Z
@videoloops1,"Definitely Pro Max, since you never mentioned about me paying for it.",2025-09-10T07:20:05Z
@AbeerKaju,"17 pro max. We don't need thin phones, we need bigger batteries.",2025-09-10T07:21:19Z
@saesiadaty6726,Iphone 17 pro max 512 GB,2025-09-10T07:23:49Z
@hanzohasashi2221-z5w,S25 ultra honestly,2025-09-10T07:23:49Z
@ignatziuscalligari1642,None. Overprized tech for fannboys that like to get ripped of by Apple.,2025-09-10T07:24:08Z
@unlimitedwater4646,my current device,2025-09-10T07:26:04Z
@Viincegaming,17 Pro Max orange 😃,2025-09-10T07:26:56Z
@tasneem3807,Iphone Air looks too fragile. I personally would be scared to use it on a daily basis,2025-09-10T07:29:01Z
@designbyodo,iPhone Air feels different & slick. besides just want a phone for everyday  use.,2025-09-10T07:33:05Z
@Larv6464,None. Im waiting for the iPhone 20,2025-09-10T07:33:45Z
@Lux-in-luv,PIXEL 10 PRO XL,2025-09-10T07:34:25Z
@thehustleconnect,17 pro max 👌,2025-09-10T07:35:03Z
@nnounours,17 Pro Max - 17 Air is for posers 😆,2025-09-10T07:35:07Z
@techbluejay,"The tech review world is a swamp of unreliable content, and you and MKBHD were the ones who stood out. MOSTLY YOU. Your deep passion, meticulous attention to detail, and fiercely unbiased deep dives always made your content a priority watch for me. That's why this recent video was such a jarring departure that I couldn't even finish it.

I'm writing to share my honest feedback on your iphone air / 17 lineup video. From the get-go, it felt less like a review and more like a fawning piece of Apple propaganda. The bias was so blatant it was uncomfortable to watch. For the record, I don’t hate Apple; I'm typing this email on an Apple device right now unfortunately.

Many of the features presented as revolutionary have been standard for years in the Android ecosystem, and this is not news which we all know. But the way you delivered it today made a huge gap and hurt me. The moment that sealed it for me, however, was when you casually tossed out a ""20% performance upgrade"" claim without any of your signature context, data, or critical analysis. It was a frustratingly shallow comment, completely uncharacteristic of the depth you're known for.

To be completely transparent, the video felt like a soulless, sponsored piece rather than the objective analysis I've come to expect. The opinions seemed disingenuous, and it lost the core authenticity that made me (and clearly, many others) subscribe in the first place.

This feedback comes from a place of genuine respect for what your work used to represent. The reason your channel became so successful is because you felt like an authentic, trusted voice in the tech space. Even if it were your opinion, I wanted to hear it, listen to your opinion, LEARN from you. Now, I just wanted to share that for a long-time viewer, this particular video felt like it was missing that critical, unbiased spark entirely.

No, I don’t write emails like this. Just imagine how profoundly your latest iPhone 17 Air video affected me to prompt something I've never done before. I geniunely felt hurt.

Thank you for taking the time to read this. I'm not sure if I have the heart to follow ANY YouTubers including you for tech reviews anymore. I'm wishing you a goodbye and good luck for your future.",2025-09-10T07:35:08Z
@cdgarcia5969,"None haha, maybe 16 pro or pro max

17 looks good but not that jaw dropping",2025-09-10T07:36:00Z
@sh4unity204,Air for the feels. But happy to say that the feeling of wanting to own the next brick phone has finally gone watching em on my new 512gb fold 6 :3,2025-09-10T07:37:42Z
@Islam_video_channel,@thatsitthatsall70 this is what I wanted but felt battery was awful,2025-09-10T07:40:18Z
@Vartulkumar1,"​@abhishekdinesh9517 🤮🤮 
S24 ultra>>>>s25 ultra",2025-09-10T07:41:16Z
@villacurtricias,17 pro max. Function over form.,2025-09-10T07:42:22Z
@kandys_world1049,"17 pro max, hell yeah 😊",2025-09-10T07:43:37Z
@stefanierex3242,iPhone 17 pro Max of course…. but NEVER in that orange Colour 🙈,2025-09-10T07:43:53Z
@Azri-sr9cv,Air,2025-09-10T07:47:23Z
@Azri-sr9cv,Definitely air,2025-09-10T07:47:32Z
@thekiwidev,"I would actually pick the iPhone Air, if the durability and battery are as proimised",2025-09-10T07:49:45Z
@moonbaby6134,Torras also do a great mini MagSafe charger. Perfect for the new Air.,2025-09-10T07:53:01Z
@ghost_2017,Im waiting tab s11 ultra review,2025-09-10T07:53:37Z
@IconicBlossomm,17 pro max,2025-09-10T07:54:52Z
@beniwalamit2001,Pro max,2025-09-10T07:55:50Z
@motivation.altegani,"What is an Air🤔😕

Apple is malicious and knows very well that an iPhone 17 Plus, with the same specifications as the iPhone 17, will end the legend of the Pro forever. That is why it replaced it with this rubbish..

No normal person would pay money for such nonsense.",2025-09-10T07:58:04Z
@jasiekkal,Is that even a question? iPhone Air is stupid and will be discontinued next year,2025-09-10T07:59:32Z
@mpumbyadahlin6475,17 Pro Max,2025-09-10T07:59:49Z
@motivation.altegani,"If there was a 17 Plus with the same specifications as the iPhone 17, it would be the best phone of the year, without a doubt..",2025-09-10T08:00:36Z
@thesolo8,"The pro design is absolute garbage, it feels like those demo products the engineering team put on the table for pre-design stages :)))",2025-09-10T08:04:48Z
@911darkmatter,"Been Using 13 pro so this year I will go for 17 pro max, a much needed upgrade may I say.",2025-09-10T08:05:12Z
@s.van_der_ntenga,"Definitely the Pro Max, it makes such a bold statement aesthetically and functionally",2025-09-10T08:06:27Z
@happyelve,"This case, maybe the air.",2025-09-10T08:06:39Z
@DarkKnight-c1o,air ,2025-09-10T08:07:02Z
@owurakuagyeidsane8460,The air,2025-09-10T08:08:07Z
@andreialex620,Yes.,2025-09-10T08:08:34Z
@labroomes,17 Pro Max,2025-09-10T08:08:50Z
@pranav1369,Air,2025-09-10T08:10:12Z
@akabroTm,Trust me iphone 17 base model will be the most sold iPhone in iphone 17 lineup being cheap with 256gb as starting storage and 120hz refresh rate is awesome,2025-09-10T08:11:16Z
